Promoter Name,Address,Builder Pin Code,Email,Phone Number,Name,Location,Project Pin Code,Registration No.,Valid Until,Construction Status,Certificate,Extension Certificate
NBCC INDIA LIMITED,"NBCC INDIA LTD NBCC BHAWAN, LODHI ROAD,SOUTH DELHI,,,",None,sales.nauroji@nbccindia.com,8450971027,"GPRA Colony at Sriniwaspuri, New Delhi","General Pool Residential Colony(GPRA),Sriniwaspuri, New Delhi-110065 , SOUTH DELHI, Delhi, SOUTH DELHI , 110065",110065,DLRERA2022P0044,31/12/2025,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0044,Not Applicable
NBCC INDIA LIMITED,"NBCC INDIA LTD NBCC BHAWAN, LODHI ROAD,SOUTH DELHI,,,",None,sales.nauroji@nbccindia.com,8450971027,"Redevelopment of GPRA Colony at Mohammadpur, New Delhi","Mohammadpur, New Delhi-110066 , South West Delhi, Delhi, South West Delhi , 110066",110066,DLRERA2022P0043,31/03/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0043,Not Applicable
NBCC INDIA LIMITED,"NBCC INDIA LTD NBCC BHAWAN, LODHI ROAD,SOUTH DELHI,,,",None,sales.nauroji@nbccindia.com,8450971027,Redevelopment of General Pool Residential Colony at Kasturba Nagar New Delhi.,"GPRA Colony at Kasturba Nagar, New Delhi-110003 , SOUTH DELHI, Delhi, SOUTH DELHI , 110003",110003,DLRERA2022P0042,31/12/2025,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0042,Not Applicable
INFRATECH FORCE LLP,"PLOT NO. 3, 3RD FLOOR VILLAGE MALIKPUR CHHAONI BLOCK B MODEL TOWN DELHI North West DL 110009 IN,MODEL TOWN,delhi,NORTH WEST,110009",110009,abhinav@pristinelegal.com,8588081414,Infratech Force LLP,"Plot No.1 Block B Lawrence Road Industrial Area, Delhi-35 , Sub Registrar VIA, Delhi, Delhi, NORTH WEST , 110035",110035,DLRERA2022P0041,28/02/2026,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0041,Not Applicable
THE HOME LIVING COOPERTAIVE GROUP HOUSING SOCIETY LIMITED,"Plot No. 14, Sector-9, Dwarka, New Delhi,Delhi,delhi,Dwarka,110077",110077,tothehomeliving@gmail.com,9990668913,The Home Living CGHS Limited,"Plot No. 14, Sector - 9, Dwarka, New Delhi - 110 077 , Dwarka, Delhi, Dwarka , 110077",110077,DLRERA2022P0040,,Completed,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0040,Not Applicable
BDR BUILDERS AND DEVELOPERS PRIVATE LIMITED,"C-43, LGF, JANGPURA EXTENSION,NEW DELHI,delhi,SOUTH EAST,110014",110014,shreyanshguptabdr@gmail.com,09910754359,"F-11, HAUZ KHAS ENCLAVE, NEW DELHI","F-11, HAUZ KHAS ENCLAVE, NEW DELHI , NEW DELHI, Delhi, SOUTH DISTRICT , 110016",110016,DLRERA2022P0039,31/12/2022,Completed,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0039,Not Applicable
DELHI DEVELOPMENT AUTHORITY,"DPD-1,DDA, Central nursery, sector-5 Dwarka, New Delhi-110075,Dwarka,,,",None,eeswd9dda@gmail.com,9818724896,C/o 821 Multi-storeyed Houses (600 Two bedrooms & 221 EWS) in pocket-E at Lok Nayak Puram (Bakkarwala).,"Pocket-E, Lok Nayak Puram Bakkarwala , Punjabi Bagh, Delhi, West Delhi , 110041",110041,DLRERA2022P0038,30/08/2023,Completed,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0038,Not Applicable
DELHI DEVELOPMENT AUTHORITY,"Office Of The Executive Engineer DPD-5/DDA, B2B Block, Janakpuri, New Delhi-110058,South West Delhi,,,",None,eewd13@gmail.com,8800141239,"C/o 1568 DU’s/600 Cat-II (312 DU’s 2 BHK+ 288 DU’s 1 BHK) and 968 EWS Multistoried Composite Houses Including internal development and Electrification in Pocket -5, Sector-14, Dwarka, Phase-II.","Pocket-V, Sector-14, Dwarka , South West Delhi, Delhi, South-west Delhi , 110078",110078,DLRERA2022P0037,30/08/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0037,Not Applicable
DELHI DEVELOPMENT AUTHORITY,"EE/NMD-3/DDA Munim ji ka bagh narela Delhi 110040.,Narela,,,",None,eend4dda@gmail.com,8130407234,DDA housing project Pocket 1C sector A1-A4 Narela District North.,"Pkt 1C Sector A1 to A4 Narela Delhi 110040 , Narela, Delhi, North Delhi , 110040",110040,DLRERA2022P0036,30/08/2023,,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0036,Not Applicable
DELHI DEVELOPMENT AUTHORITY,"EE/NMD-3/DDA Munim ji ka bagh narela Delhi 110040.,Narela,,,",None,eend4dda@gmail.com,8130407234,DDA housing project Pocket 1B sector A1-A4 Narela District North.,"Sector A1 to A4 Narela , Narela, Delhi, North Delhi , 110040",110040,DLRERA2022P0035,30/08/2023,,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0035,Not Applicable
DELHI DEVELOPMENT AUTHORITY,"DDA office complex Ashok Vihar Phase 1 near Railway underpass,Ashok Vihar,,,",None,eend10ddaav@gmail.com,9811306426,DDA housing project Pocket 1A sector A1 to A4 Narela District North.,"sector A1 to A4 Narela District North National Capital Territory Of Delhi. , Narela, Delhi, North Delhi , 110040",110040,DLRERA2022P0034,31/08/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0034,Not Applicable
DELHI DEVELOPMENT AUHTORITY,"DELHI DEVELOPMENT AUTHORITY VIKAS SADAN, NEW DELHI,NORTH EAST DELHI,delhi,NORTH EAST DELHI,110023",110023,eesed1dda@gmail.com,7011157572,"C/o 215 Houses at pocket-9B,Jasola","Pocket-9B,Jasola,South Delhi, New Delhi-110020 , South Delhi, Delhi, South Delhi , 110020",110020,DLRERA2022P0033,30/08/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0033,Not Applicable
DELHI DEVELOPMENT AUTHORITY,"Room No. 28, DPD-4, Central Nursery, Sector-5, Dwarka,New Delhi,,,",None,wd10rera@gmail.com,9711788770,"C/o 352 Multistoried two bedroom Apartments adjoining pocket-3 sector-19B,Dwarka Ph-II","Project is located at adjacent to pocket-3 sector-19B dwarka New Delhi , southwest , Delhi, Southwest delhi , 110075",110075,DLRERA2022P0032,30/08/2023,,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0032,Not Applicable
DELHI DEVELOPMENT AUTHORITY,"Room no 31 Central nursery Sector 5 Dwarka ,Dwarka New Delhi,,,",None,wd8dda@gmail.com,9868533888,CONSTRUCTION OF 348 MS-MIG HOUSES AT SECTOR -16B POCKET-II DWARKA PHASE-II,"SECTOR 16B,DWARKA , DWARKA, Delhi, SOUTH WEST DELHI , 110078",110078,DLRERA2022P0031,30/08/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0031,Not Applicable
DELHI DEVELOPMENT AUTHORITY,"EXECUTIVE ENGINEER, DPD-2, DDA, DWARKA PROJECT OFFICE, MANGLAPURI,DWARKA,,,",None,eewd6dda@gmail.com,9868211866,Construction of integrated complex of 273 (276) multi-storied EWS housing with facility building behind DDA project office at Manglapuri (Site No.-IV) (Project on Design and Construct basis,"Site No. IV at Manglapuri, Dwarka behind DDA Dwarka Project Office , Dwarka, Delhi, South West , 110045",110045,DLRERA2022P0030,30/08/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0030,Not Applicable
DELHI DEVELOPMENT AUTHORITY,"O/o Executive Engineer, NPD-2, DDA Office Complex, Munim ji ka Bagh, Narela,Narela,,,",None,eend12ddanz@gmail.com,9810822278,"Construction of 24,660 LIG & 4855 EWS houses by using prefab technology (Having structural RCC Members i.e. columns, beams & slabs all precast or walls and slabs all precast) in Narela & Rohini, Delhi (A turnkey project).","Sector- G-2 & G-6, Narela and Sector- G-7 & G-8, Narela , Narela, Delhi, North West Delhi , 110040",110040,DLRERA2022P0029,30/08/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0029,Not Applicable
DELHI DEVELOPMENT AUTHORITY,"DDA Office Complex Near TV tower Pitampura,Delhi,,,",None,northerndivision9@gmail.com,9873587392,Group Housing Pockets 6 and 7 sector G7/G8 Narela,"Pocket 6 and 7 Sector G7/G8 Narela , Delhi, Delhi, North Delhi , 110040",110040,DLRERA2022P0028,30/08/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0028,Not Applicable
DELHI DEVELOPMENT AUTHORITY,"D2 Vasant Kunj New Delhi - 110070,South West Delhi,,,",None,ddased7@gmail.com,9999683180,C/o 160 HIG Cat II Houses four storeyed & 160 Scooter Garages in sector B Pkt II Vasant Kunj i/c internal development (LIC pocket). SH C/o 80 HIG Cat-II houses and 80 scooter garages i/c internal development Group I (Balance work),"Sector-B Pocket-2 Vasant Kunj New Delhi , Vasant Kunj, Delhi, South Delhi , 110070",110070,DLRERA2022P0027,30/08/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0027,Not Applicable
DELHI DEVELOPMENT AUTHORITY,"SED-8 DDA A-14 KALKAJI EXTENSSION NEW DELHI-110019,SOUTH EAST DELHI,,,",None,spd4dda@gmail.com,9910221966,"C/o 223 (154 MIG+69 LIG) multistoreyed and four storeyed houses i/c basement,internal and external development tube wells and internal electrification complete at Vasant Kunj on Mehrauli-Mahipalpur Road New Delhi.","Sector E-1 Near Mahipalpur , Vasant Kunj, Delhi, South West , 110070",110070,DLRERA2022P0026,30/08/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0026,Not Applicable
DELHI DEVELOPMENT AUTHORITY,"SED-8 DDA A-14 KALKAJI EXTENSSION NEW DELHI-110019,SOUTH EAST DELHI,,,",None,spd4dda@gmail.com,9910221966,"C/o 362 (268 MIG+94 LIG) multistoreyed and four storeyed houses i/c basement,internal and external development tube wells and internal electrification complete at Vasant Kunj on Mehrauli-Mahipalpur Road New Delhi.","Sector E-1 Near Mahipalpur , Vasant Kunj, Delhi, South West , 110070",110070,DLRERA2022P0025,30/08/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0025,Not Applicable
DELHI DEVELOPMENT AUTHORITY,"SD-2 DDA A-14 KALKAJI EXTENSSION NEW DELHI-110019,SOUTH EAST DELHI,,,",None,spd3.dda@gmail.com,9868833147,"C/O 852 HIG/MIG/LIG houses at Vasant Kunj on Mehrauli,mahipalpur Road, New Delhi, Near Sultangarhi Tomb. Part-A : Cluster –1 C/O 207 HIG Houses (Balance work) at the Risk and cost of M/S Larsen & Toubro Limited.","Vasant Kunj , Delhi, Delhi, South , 110070",110070,DLRERA2022P0024,30/08/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0024,Not Applicable
DELHI DEVELOPMENT AUTHORITY,"SD-2 DDA A-14 KALKAJI EXTENSSION NEW DELHI-110019,SOUTH EAST DELHI,,,",None,spd3.dda@gmail.com,9868833147,"C/O 852 HIG/MIG/LIG houses at Vasant Kunj on Mehrauli,mahipalpur Road, New Delhi, Near Sultangarhi Tomb. Part-A : Cluster –4 C/O 209 HIG Houses (Balance work) at the Risk and cost of M/S Larsen & Toubro Limited.","Vasant Kunj New Delhi , Vasant Kunj, Delhi, South West Delhi , 110070",110070,DLRERA2022P0023,30/08/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0023,Not Applicable
DELHI DEVELOPMENT AUTHORITY,"SD-2 DDA A-14 KALKAJI EXTENSSION NEW DELHI-110019,SOUTH EAST DELHI,,,",None,spd3.dda@gmail.com,9868833147,"C/O 852 HIG/MIG/LIG houses at Vasant Kunj on Mehrauli,mahipalpur Road, New Delhi, Near Sultangarhi Tomb. Part-A : Cluster –3 C/O 213 (157 MIG 56 LIG ) Houses Balance work","Vasant Kunj New DElhi , Vasant Kunj, Delhi, South West Delhi , 110070",110070,DLRERA2022P0022,30/08/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0022,Not Applicable
DELHI DEVELOPMENT AUTHORITY,"DDA Office Complex Near TV tower Pitampura,Delhi,,,",None,northerndivision9@gmail.com,9873587392,Group Housing Pockets 4 and 5 sector G7/G8 Narela,"Pocket 4 and 5, Sector G7/G8, Narela , Delhi, Delhi, North Delhi , 110040",110040,DLRERA2022P0021,30/08/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0021,Not Applicable
DLF URBAN PVT. LTD.,"15, Shivaji Marg,New Delhi,delhi,West District,110015",110015,rera.pragati@dupl.in,8929053369,Phase-I of Project Pragati,"Located on parcel of land admeasuring 5684.21 Sq Mtrs at Rohtak Road, near Jakhira Flyover, New Delhi – 110026. , Delhi, Delhi, Delhi , 110026",110026,DLRERA2022P0020,09/08/2025,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0020,Not Applicable
DLF MIDTOWN PRIVATE LIMITED,"15, Shivaji Marg,Shivaji Marg,delhi,West District,110015",110015,rera.pragati@dmtpl.in,9711183804,Phase-II of Project Pragati,"Located on parcel of land admeasuring 5684.21 Sq Mtrs at Rohtak Road, near Jakhira Flyover, New Delhi – 110026. , Delhi, Delhi, Delhi , 110026",110026,DLRERA2022P0019,09/08/2025,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0019,Not Applicable
DLF HOME DEVELOPERS LIMITED,"1ST FLOOR, DLF GATEWAY TOWER, R BLOCK, DLF CITY, PHASE-III GURUGRAM,GURUGRAM,haryana,GURUGRAM,122002",122002,rera.mtp@dlf.in,9899029686,DLF Midtown Plaza,"DLF Midtown, Shivaji Marg, New Delhi-110015 , New Delhi, Delhi, Delhi , 110015",110015,DLRERA2022P0018,07/04/2027,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0018,Not Applicable
PANCH TATVA PROMOTERS PRIVATE LIMITED,"Unit No. 105, First Floor, Vardhman's Sidhant- Shopping Plaza, LSC, Savita Vihar, East Delhi, Delhi-110092,DELHI ,delhi,EAST DELHI ,110092",110092,sawasdeegemsrera@gmail.com,7011751439,SAWASDEE GEMS,"PLOT NO 34, BLOCK / POCKET A-2 , PASCHIM VIHAR , DELHI -110063 , DELHI, Delhi, WEST DELHI , 110063",110063,DLRERA2022P0017,15/12/2026,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0017,Not Applicable
RAVI SHANKAR CO-OPERATIVE GROUP HOUSING LTD.,"plot no 2, sector 13, Dwarka,Delhi,delhi,New Delhi,110078",110078,cghsravishankar@gmail.com,9810126120,RAVI SHANKAR CO-OPERATIVE GROUP HOUSING SOCIETY,"Plot No.2, Dwarka Sector-13, New Delhi-110078 , Dwarka, Delhi, South-West , 110078",110078,DLRERA2022P0016,24/01/2023,Completed,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0016,Not Applicable
ASTEROID SHELTERS HOMES PRIVATE LIMITED,"UNIT NO. 105, FIRST FLOOR, VARDHMAN'S SIDHANT- SHOPPING PLAZA, LSC, SAVITA VIHAR, EAST DELHI, DELHI-110092 ,DELHI ,delhi,EAST DELHI ,110092",110092,noveltystreetrera@gmail.com,7011751439,NOVELTY STREET,"VACANT PLOT OF NOVELTY CINEMA LAND, MAIN ROAD, SHYAMA PRASAD MUKHARJEE MARG, NEAR OLD DELHI RAILWAY STATION, DELHI 110006 , DELHI , Delhi, CENTRAL DELHI , 110006",110006,DLRERA2022P0015,13/06/2025,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0015,Not Applicable
PANCH TATVA PROMOTERS PRIVATE LIMITED,"Unit No. 105, First Floor, Vardhman's Sidhant- Shopping Plaza, LSC, Savita Vihar, East Delhi, Delhi-110092,DELHI ,delhi,EAST DELHI ,110092",110092,sawasdeegemsrera@gmail.com,7011751439,SAWASDEE NSP,"Plot No. G-1, District Centre, Netaji Subhash Place, New Delhi-110034 , DELHI , Delhi, NORTH WEST DELHI , 110034",110034,DLRERA2022P0014,19/11/2026,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0014,Not Applicable
NBCC INDIA LIMITED,"NBCC INDIA LTD NBCC BHAWAN, LODHI ROAD,SOUTH DELHI,,,",None,sales.nauroji@nbccindia.com,8450971027,WORLD TRADE CENTER NEW DELHI Phase III,"WORLD TRADE CENTER- NEW DELHI NAUROJI NAGAR, RING ROAD, NEW DELHI-110029 , South Delhi, Delhi, South Delhi , 110029",110029,DLRERA2022P0013,30/04/2024,,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0013,Not Applicable
NBCC INDIA LIMITED,"NBCC INDIA LTD NBCC BHAWAN, LODHI ROAD,SOUTH DELHI,,,",None,sales.nauroji@nbccindia.com,8450971027,"GPRA Colony at Thyagraj Nagar, New Delhi","GPRA Colony at Thyagraj Nagar, New Delhi-110003 , SOUTH DELHI, Delhi, SOUTH DELHI , 110003",110003,DLRERA2022P0012,31/12/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0012,Not Applicable
COUNTY PROJECTS PRIVATE LIMITED,"Registered Office Address- F-28, GROUND FLOOR, PREET VIHAR,, DELHI - 110092. Corporate Office Address- A-39, Sector -63, Noida, U.P., PIN-201301. Site Address- Plot No.-2, and G-4, District Centre, Netaji Subash Place, Delhi, PIN- 110034 ,Delhi,delhi,East Delhi,110092",110092,rera4@countygroup.in,9899999290,County Courtyard (Wing-B),"Plot No. G-4, Distt. Center Netaji Subhash Place, New Delhi , New Delhi, Delhi, North West Delhi , 110034",110034,DLRERA2022P0009,31/12/2025,,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0009,Not Applicable
COUNTY PROJECTS PRIVATE LIMITED,"Registered Office Address- F-28, GROUND FLOOR, PREET VIHAR,, DELHI - 110092. Corporate Office Address- A-39, Sector -63, Noida, U.P., PIN-201301. Site Address- Plot No.-2, and G-4, District Centre, Netaji Subash Place, Delhi, PIN- 110034 ,Delhi,delhi,East Delhi,110092",110092,rera4@countygroup.in,9899999290,County Courtyard (Wing-A),"Plot No. G-2, District Center Netaji Subhash Place, New Delhi , New Delhi, Delhi, North West Delhi , 110034",110034,DLRERA2022P0008,31/12/2025,,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0008,Not Applicable
ECHO BUILDTECH PRIVATE LIMITED,"E-4, Defence Colony, New Delhi South Delhi DL 110024 IN,South Delhi,delhi,South Delhi,110024",110024,reranoticeecho@gmail.com,9530015118,TARC TRIPUNDRA,"Project to be developed on land admeasuring 14 Bigha 3 Biswa comprised in Khasra No. 8/26/2 situated at village Kapashera, Tehsil Vasant Vihar, New Delhi 110037. Bounded as under: North: Plot no. 8/26/1, 554-555 South: Plot no. 558 to 864 East: Plot no. 547 to 552 West: Road , Vasant Vihar, Delhi, South Delhi , 110037",110037,DLRERA2022P0007,31/05/2026,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0007,Not Applicable
NBCC INDIA LIMITED,"NBCC INDIA LTD NBCC BHAWAN, LODHI ROAD,SOUTH DELHI,,,",None,sales.nauroji@nbccindia.com,8450971027,WORLD TRADE CENTER NEW DELHI (NBCC Redevelopment of 7 GPRA Colonies of Delhi ( Phase II)),"WORLD TRADE CENTER-NEW DELHI, NAUROJI NAGAR, RING ROAD, NEW DELHI-110029 , SOUTH DELHI, Delhi, SOUTH DELHI , 110029",110029,DLRERA2022P0006,31/03/2023,,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0006,Form F for F1(19)PR-18.10.2022.pdf
NBCC INDIA LIMITED,"NBCC INDIA LTD NBCC BHAWAN, LODHI ROAD,SOUTH DELHI,,,",None,sales.nauroji@nbccindia.com,8450971027,WORLD TRADE CENTER NEW DELHI (NBCC Redevelopment of 7 GPRA Colonies of Delhi ( Phase I)),"WORLD TRADE CENTER-NEW DELHI NAUROJI NAGAR, RING ROAD, NEW DELHI-110029 , SOUTH DELHI, Delhi, SOUTH DELHI , 110029",110029,DLRERA2022P0005,31/03/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0005,Form F for F1(03)PR-18.10.2022.pdf
PARSVNATH LANDMARK DEVELOPERS PVT. LTD.,"Parsvnath Tower Near Shahdara Metro Station Shahdara DELHI – 110032,Shahdara,delhi,Shahdara,110032",110032,rera@parsvnath.com,9205809569,Parsvnath La-Tropicana Phase-III,"Parsvnath La-Tropicana, Khyber Pass, Magazine Road, Civil Lines Delhi-110054 , Civil Lines, Delhi, North Delhi , 110054",110054,DLRERA2022P0004,13/10/2025,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0004,Not Applicable
